Barcode,SampleID
barcode01,Nil
barcode02,Nil
barcode03,Nil
barcode04,Nil
barcode05,Nil
barcode06,Nil
barcode07,Nil
barcode08,Nil
barcode09,Nil
barcode10,Nil
barcode11,Nil
barcode12,Nil
barcode13,Nil
barcode14,Nil
barcode15,Nil
barcode16,Nil
barcode17,Nil
barcode18,Nil
barcode19,Nil
barcode20,Nil
barcode21,Nil
barcode22,Nil
barcode23,Nil
barcode24,Nil
